id,season,week,startDate,startTimeTBD,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,capacity,grass,dome,city,state,zip,countryCode,timezone,latitude,longitude,elevation,constructionYear,game_date,temperature_c,precip_mm,windspeed_kmh,attendance_pct,high_attendance,flag_missing_attendance,flag_missing_capacity,flag_over_capacity,awayEloMissing,homeEloMissing
401636606,2024,1,2024-08-30T00:00:00.000Z,False,True,False,20829.0,3486,Children's Mercy Park,2305,Kansas,Big 12,48.0,"[7, 27, 7, 7]",0.998935341835022,1619.0,1619.0,2815,Lindenwood,fcs,Big South-OVC,3.0,"[0, 0, 0, 3]",0.001064658164978,1480.0,1472.0,2.5591263641735407,18467.0,True,False,Kansas City,KS,66111.0,US,America/Chicago,39.121768,-94.823198,300.8,2011.0,2024-08-30,30.5,0.0,6.4,1.12790382845075,,False,False,True,True,False
401634206,2024,1,2024-08-30T00:00:00.000Z,False,False,False,49438.0,3726,Folsom Field,38,Colorado,Big 12,31.0,"[14, 3, 7, 7]",0.3524485528469085,1324.0,1324.0,2449,North Dakota State,fcs,MVFC,26.0,"[10, 10, 0, 6]",0.6475514471530914,1566.5,1580.5,5.152339932073766,50183.0,True,False,Boulder,CO,80309.0,US,America/Denver,40.0094746,-105.266905,1634.041138,1924.0,2024-08-30,26.4,0.0,14.5,0.9851543351334116,1.0,False,False,False,True,False
401636607,2024,1,2024-08-30T01:00:00.000Z,False,False,False,52210.0,587,Rice-Eccles Stadium,254,Utah,Big 12,49.0,"[7, 28, 7, 7]",0.9919071197509766,1622.0,1622.0,253,Southern Utah,fcs,UAC,0.0,"[0, 0, 0, 0]",0.0080928802490234,1480.0,1472.0,1.8134759040786976,51444.0,False,False,Salt Lake City,UT,84112.0,US,America/Denver,40.7599724,-111.8488255,1411.543579,1998.0,2024-08-30,23.7,0.0,7.1,1.014889977451209,1.0,False,False,True,True,False
401654845,2024,1,2024-08-30T01:00:00.000Z,False,False,False,43849.0,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,Big Ten,45.0,"[14, 17, 7, 7]",0.9923451542854308,1502.0,1502.0,2197,Eastern Illinois,fcs,Big South-OVC,0.0,"[0, 0, 0, 0]",0.007654845714569,1480.0,1472.0,2.4551539303536507,60670.0,False,False,Champaign,IL,61820.0,US,America/Chicago,40.0993268,-88.2359569,223.2471619,1923.0,2024-08-30,27.1,0.0,9.6,0.72274600296687,0.0,False,False,False,True,False
401643698,2024,1,2024-08-30T02:00:00.000Z,False,False,False,13811.0,3935,CEFCU Stadium,23,San José State,Mountain West,42.0,"[7, 7, 7, 21]",0.9956003427505492,1544.0,1544.0,16,Sacramento State,fcs,Big Sky,24.0,"[14, 3, 7, 0]",0.0043996572494506,1483.0,1395.0,6.442913215712913,30456.0,False,False,San Jose,CA,95112.0,US,America/Los_Angeles,37.3196675,-121.8682962,28.30708694,1933.0,2024-08-30,22.6,0.0,14.7,0.4534738639348568,0.0,False,False,False,True,False
401645319,2024,1,2024-08-30T22:00:00.000Z,False,False,False,23760.0,3841,Michie Stadium,349,Army,American Athletic,42.0,"[7, 14, 7, 14]",0.954264521598816,1425.0,1425.0,2329,Lehigh,fcs,Patriot,7.0,"[7, 0, 0, 0]",0.045735478401184,1480.0,1472.0,2.3715897160909445,38000.0,False,False,West Point,NY,10996.0,US,America/New_York,41.3874924,-73.9640891,99.21277618,1924.0,2024-08-30,21.2,0.0,8.7,0.6252631578947369,0.0,False,False,False,True,False
401628453,2024,1,2024-08-30T23:00:00.000Z,False,False,False,70271.0,3936,Spartan Stadium,127,Michigan State,Big Ten,16.0,"[2, 14, 0, 0]",0.8807753324508667,1392.0,1401.0,2226,Florida Atlantic,fbs,American Athletic,10.0,"[0, 3, 7, 0]",0.1192246675491333,1422.0,1413.0,3.9106104302508538,75005.0,True,False,East Lansing,MI,48824.0,US,America/Detroit,42.7281474,-84.4848526,254.8794861,1923.0,2024-08-30,27.3,0.0,10.0,0.9368842077194852,1.0,False,False,False,False,False
401628328,2024,1,2024-08-30T23:00:00.000Z,False,False,False,83329.0,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,51.0,"[17, 17, 3, 14]",0.9779277443885804,1786.0,1849.0,218,Temple,fbs,American Athletic,3.0,"[0, 0, 3, 0]",0.0220722556114196,1178.0,1115.0,2.0425201022360624,86112.0,True,False,Norman,OK,73019.0,US,America/Chicago,35.2058537,-97.4423145,355.0962524,1925.0,2024-08-30,30.0,0.0,12.1,0.967681623931624,1.0,False,False,False,False,False
401628584,2024,1,2024-08-30T23:30:00.000Z,False,False,False,18466.0,3982,Wallace Wade Stadium,150,Duke,ACC,26.0,"[3, 7, 9, 7]",0.5600078105926514,1602.0,1602.0,2210,Elon,fcs,Coastal Athletic,3.0,"[0, 0, 0, 3]",0.4399921894073486,1480.0,1472.0,3.2282799740134647,40004.0,True,False,Durham,NC,27708.0,US,America/New_York,35.9953688,-78.9417564,103.0028152,1929.0,2024-08-30,27.2,0.0,4.7,0.4616038396160384,0.0,False,False,False,True,False
401628461,2024,1,2024-08-31T01:00:00.000Z,False,False,False,75158.0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,28.0,"[0, 10, 3, 15]",0.9123791456222534,1587.0,1593.0,2711,Western Michigan,fbs,Mid-American,14.0,"[0, 7, 0, 7]",0.0876208543777465,1315.0,1309.0,4.26093839948511,80321.0,False,False,Madison,WI,53711.0,US,America/Chicago,43.06994,-89.4126943,263.604126,1917.0,2024-08-31,20.4,0.0,7.8,0.9357204218074974,1.0,False,False,False,False,False
